Time,"Total Power
(W)"
2023-05-10 19:58:20,38601
2023-05-10 19:58:21,38614
2023-05-10 19:58:22,38614
2023-05-10 19:58:23,38601
2023-05-10 19:58:24,38551
2023-05-10 19:58:25,38464
2023-05-10 19:58:26,38439
2023-05-10 19:58:27,38439
2023-05-10 19:58:28,38439
2023-05-10 19:58:29,38439
2023-05-10 19:58:30,38414
2023-05-10 19:58:31,38414
2023-05-10 19:58:32,38451
2023-05-10 19:58:33,38451
2023-05-10 19:58:34,38501
2023-05-10 19:58:35,38501
2023-05-10 19:58:36,38514
2023-05-10 19:58:37,38526
2023-05-10 19:58:38,38539
2023-05-10 19:58:39,38539
2023-05-10 19:58:40,38539
2023-05-10 19:58:41,38551
2023-05-10 19:58:42,38551
2023-05-10 19:58:43,38551
2023-05-10 19:58:44,38564
2023-05-10 19:58:45,38576
2023-05-10 19:58:46,38576
2023-05-10 19:58:47,38589
2023-05-10 19:58:48,38689
2023-05-10 19:58:49,38701
2023-05-10 19:58:50,38701
2023-05-10 19:58:51,38701
2023-05-10 19:58:52,38739
2023-05-10 19:58:53,38751
2023-05-10 19:58:54,38789
2023-05-10 19:58:55,38801
2023-05-10 19:58:56,38801
2023-05-10 19:58:57,38814
2023-05-10 19:58:58,38876
2023-05-10 19:58:59,38914
2023-05-10 19:59:00,38926
2023-05-10 19:59:01,38926
2023-05-10 19:59:02,38926
2023-05-10 19:59:03,38964
2023-05-10 19:59:04,39101
2023-05-10 19:59:05,39114
2023-05-10 19:59:06,39076
2023-05-10 19:59:07,39126
2023-05-10 19:59:08,39151
2023-05-10 19:59:09,39226
2023-05-10 19:59:10,39176
2023-05-10 19:59:11,39176
2023-05-10 19:59:12,39176
2023-05-10 19:59:13,39176
2023-05-10 19:59:14,39189
2023-05-10 19:59:15,39176
2023-05-10 19:59:16,39176
2023-05-10 19:59:17,39226
2023-05-10 19:59:18,39239
2023-05-10 19:59:19,39314
2023-05-10 19:59:20,39264
2023-05-10 19:59:21,39289
2023-05-10 19:59:22,39364
2023-05-10 19:59:23,39364
2023-05-10 19:59:24,39364
2023-05-10 19:59:25,39351
2023-05-10 19:59:26,39351
2023-05-10 19:59:27,39426
2023-05-10 19:59:28,39451
2023-05-10 19:59:29,39439
2023-05-10 19:59:30,39414
2023-05-10 19:59:31,39501
2023-05-10 19:59:32,39501
2023-05-10 19:59:33,39489
2023-05-10 19:59:34,39489
2023-05-10 19:59:35,39489
2023-05-10 19:59:36,39489
2023-05-10 19:59:37,39513
2023-05-10 19:59:38,39501
2023-05-10 19:59:39,39588
2023-05-10 19:59:40,39601
2023-05-10 19:59:41,39601
2023-05-10 19:59:42,39613
2023-05-10 19:59:43,39613
2023-05-10 19:59:44,39626
2023-05-10 19:59:45,39638
2023-05-10 19:59:46,39638
2023-05-10 19:59:47,39638
2023-05-10 19:59:48,39638
2023-05-10 19:59:49,39726
2023-05-10 19:59:50,39751
2023-05-10 19:59:51,39738
2023-05-10 19:59:52,39738
2023-05-10 19:59:53,39738
2023-05-10 19:59:54,39713
2023-05-10 19:59:55,39788
2023-05-10 19:59:56,39813
2023-05-10 19:59:57,39813
2023-05-10 19:59:58,39813
2023-05-10 19:59:59,39813
