time,posix_timestamp,taurus.alpha.energy
2021-05-27T14:31:15.331379+00:00,1622125875.331379,217550.08400000003
2021-05-27T14:31:16.338617+00:00,1622125876.338617,217550.10100000002
2021-05-27T14:31:17.360186+00:00,1622125877.360186,217550.11699999994
2021-05-27T14:31:18.335734+00:00,1622125878.335734,217550.13400000002
2021-05-27T14:31:19.331207+00:00,1622125879.331207,217550.15100000004
2021-05-27T14:31:20.331063+00:00,1622125880.331063,217550.16599999997
2021-05-27T14:31:21.333460+00:00,1622125881.33346,217550.18400000004
2021-05-27T14:31:22.366301+00:00,1622125882.366301,217550.199
2021-05-27T14:31:23.338586+00:00,1622125883.338586,217550.215
2021-05-27T14:31:24.339891+00:00,1622125884.339891,217550.23400000003
2021-05-27T14:31:25.330611+00:00,1622125885.330611,217550.25200000004
2021-05-27T14:31:26.332363+00:00,1622125886.332363,217550.26900000003
2021-05-27T14:31:27.350009+00:00,1622125887.350009,217550.28599999993
2021-05-27T14:31:28.339260+00:00,1622125888.33926,217550.30200000003
2021-05-27T14:31:29.344271+00:00,1622125889.344271,217550.318
2021-05-27T14:31:30.329988+00:00,1622125890.329988,217550.33700000003
2021-05-27T14:31:31.330431+00:00,1622125891.330431,217550.354
2021-05-27T14:31:32.348728+00:00,1622125892.348728,217550.37
2021-05-27T14:31:33.334999+00:00,1622125893.334999,217550.388
2021-05-27T14:31:34.329771+00:00,1622125894.329771,217550.40600000002
2021-05-27T14:31:35.330998+00:00,1622125895.330998,217550.424
2021-05-27T14:31:36.332100+00:00,1622125896.3321,217550.44200000004
2021-05-27T14:31:37.343966+00:00,1622125897.343966,217550.46000000002
2021-05-27T14:31:38.336240+00:00,1622125898.33624,217550.476
2021-05-27T14:31:39.331499+00:00,1622125899.331499,217550.49500000002
2021-05-27T14:31:40.334027+00:00,1622125900.334027,217550.51099999997
2021-05-27T14:31:41.329823+00:00,1622125901.329823,217550.53000000006
2021-05-27T14:31:42.347785+00:00,1622125902.347785,217550.548
2021-05-27T14:31:43.334666+00:00,1622125903.334666,217550.56599999996
2021-05-27T14:31:44.335023+00:00,1622125904.335023,217550.586
2021-05-27T14:31:45.332401+00:00,1622125905.332401,217550.602
2021-05-27T14:31:46.333354+00:00,1622125906.333354,217550.624
2021-05-27T14:31:47.362288+00:00,1622125907.362288,217550.64199999996
2021-05-27T14:31:48.337969+00:00,1622125908.337969,217550.66000000003
2021-05-27T14:31:49.330055+00:00,1622125909.330055,217550.67799999993
2021-05-27T14:31:50.331585+00:00,1622125910.331585,217550.7
2021-05-27T14:31:51.330200+00:00,1622125911.3302,217550.718
2021-05-27T14:31:52.346525+00:00,1622125912.346525,217550.741
2021-05-27T14:31:53.334056+00:00,1622125913.334056,217550.761
2021-05-27T14:31:54.335295+00:00,1622125914.335295,217550.8
2021-05-27T14:31:55.331454+00:00,1622125915.331454,217550.825
2021-05-27T14:31:56.342025+00:00,1622125916.342025,217550.84900000002
2021-05-27T14:31:57.345325+00:00,1622125917.345325,217550.86599999998
2021-05-27T14:31:58.331312+00:00,1622125918.331312,217550.883
2021-05-27T14:31:59.337654+00:00,1622125919.337654,217550.90000000005
2021-05-27T14:32:00.329895+00:00,1622125920.329895,217550.921
2021-05-27T14:32:01.332958+00:00,1622125921.332958,217550.939
2021-05-27T14:32:02.346636+00:00,1622125922.346636,217550.956
2021-05-27T14:32:03.330066+00:00,1622125923.330066,217550.97199999995
2021-05-27T14:32:04.334170+00:00,1622125924.33417,217550.99000000002
2021-05-27T14:32:05.344114+00:00,1622125925.344114,217551.00799999997
2021-05-27T14:32:06.330491+00:00,1622125926.330491,217551.026
2021-05-27T14:32:07.338935+00:00,1622125927.338935,217551.04200000002
2021-05-27T14:32:08.329766+00:00,1622125928.329766,217551.059
2021-05-27T14:32:09.329815+00:00,1622125929.329815,217551.076
2021-05-27T14:32:10.334149+00:00,1622125930.334149,217551.09199999998
2021-05-27T14:32:11.334464+00:00,1622125931.334464,217551.112
2021-05-27T14:32:12.346531+00:00,1622125932.346531,217551.13099999996
2021-05-27T14:32:13.336149+00:00,1622125933.336149,217551.149
2021-05-27T14:32:14.330357+00:00,1622125934.330357,217551.16899999997
2021-05-27T14:32:15.332553+00:00,1622125935.332553,217551.19099999996
2021-05-27T14:32:16.330510+00:00,1622125936.33051,217551.209
2021-05-27T14:32:17.344800+00:00,1622125937.3448,217551.22900000005
2021-05-27T14:32:18.330611+00:00,1622125938.330611,217551.25099999996
2021-05-27T14:32:19.330034+00:00,1622125939.330034,217551.27000000002
2021-05-27T14:32:20.334884+00:00,1622125940.334884,217551.288
2021-05-27T14:32:21.333544+00:00,1622125941.333544,217551.309
2021-05-27T14:32:22.346907+00:00,1622125942.346907,217551.32599999997
2021-05-27T14:32:23.330583+00:00,1622125943.330583,217551.34800000006
2021-05-27T14:32:24.331499+00:00,1622125944.331499,217551.37099999996
2021-05-27T14:32:25.331305+00:00,1622125945.331305,217551.38800000004
2021-05-27T14:32:26.330107+00:00,1622125946.330107,217551.407
2021-05-27T14:32:27.341474+00:00,1622125947.341474,217551.429
2021-05-27T14:32:28.334075+00:00,1622125948.334075,217551.448
2021-05-27T14:32:29.330720+00:00,1622125949.33072,217551.467
2021-05-27T14:32:30.333142+00:00,1622125950.333142,217551.48700000002
2021-05-27T14:32:31.334258+00:00,1622125951.334258,217551.507
2021-05-27T14:32:32.345844+00:00,1622125952.345844,217551.527
2021-05-27T14:32:33.329749+00:00,1622125953.329749,217551.549
2021-05-27T14:32:34.335654+00:00,1622125954.335654,217551.56600000002
