datetime,sum vals
2023-04-29 01:46:45,25348769.0
2023-04-29 01:47:00,25159188.0
2023-04-29 01:47:15,25276669.0
2023-04-29 01:47:30,25018321.0
2023-04-29 01:47:45,25569468.0
2023-04-29 01:48:00,25363894.0
2023-04-29 01:48:15,25265412.0
2023-04-29 01:48:30,25477963.0
2023-04-29 01:48:45,25424604.0
2023-04-29 01:49:00,25639543.0
2023-04-29 01:49:15,25561137.0
2023-04-29 01:49:30,25773266.0
2023-04-29 01:49:45,25351825.0
2023-04-29 01:50:00,25584190.0
2023-04-29 01:50:15,25492218.0
2023-04-29 01:50:30,25367251.0
2023-04-29 01:50:45,25271842.0
2023-04-29 01:51:00,25386119.0
2023-04-29 01:51:15,25476807.0
2023-04-29 01:51:30,25301773.0
2023-04-29 01:51:45,25681681.0
2023-04-29 01:52:00,25475849.0
2023-04-29 01:52:15,25690543.0
2023-04-29 01:52:30,25597819.0
2023-04-29 01:52:45,25501419.0
2023-04-29 01:53:00,25531312.0
2023-04-29 01:53:15,25505727.0
2023-04-29 01:53:30,25408110.0
2023-04-29 01:53:45,25313135.0
2023-04-29 01:54:00,24721799.0
2023-04-29 01:54:15,24608706.0
2023-04-29 01:54:30,25250928.0
2023-04-29 01:54:45,25493806.0
2023-04-29 01:55:00,25317466.0
2023-04-29 01:55:15,25639685.0
2023-04-29 01:55:30,25735062.0
2023-04-29 01:55:45,25431925.0
2023-04-29 01:56:00,25735302.0
2023-04-29 01:56:15,25488388.0
2023-04-29 01:56:30,25433633.0
2023-04-29 01:56:45,25414488.0
2023-04-29 01:57:00,25387102.0
2023-04-29 01:57:15,25187503.0
2023-04-29 01:57:30,25466498.0
2023-04-29 01:57:45,25468207.0
2023-04-29 01:58:00,25415387.0
2023-04-29 01:58:15,25630959.0
2023-04-29 01:58:30,25598928.0
2023-04-29 01:58:45,25395334.0
2023-04-29 01:59:00,25584470.0
2023-04-29 01:59:15,25401168.0
2023-04-29 01:59:30,25325165.0
2023-04-29 01:59:45,25233195.0
2023-04-29 02:00:00,25170402.0
2023-04-29 02:00:15,25247579.0
2023-04-29 02:00:30,25427097.0
2023-04-29 02:00:45,25341899.0
2023-04-29 02:01:00,25553250.0
2023-04-29 02:01:15,25662907.0
2023-04-29 02:01:30,25397727.0
2023-04-29 02:01:45,25471941.0
2023-04-29 02:02:00,25424451.0
2023-04-29 02:02:15,25349303.0
2023-04-29 02:02:30,25343980.0
2023-04-29 02:02:45,25295034.0
2023-04-29 02:03:00,19590750.0
2023-04-29 02:03:15,15908714.0
2023-04-29 02:03:30,25324755.0
2023-04-29 02:03:45,25504782.0
2023-04-29 02:04:00,25579029.0
2023-04-29 02:04:15,25660202.0
2023-04-29 02:04:30,25373103.0
2023-04-29 02:04:45,25593387.0
2023-04-29 02:05:00,25238572.0
2023-04-29 02:05:15,25443668.0
2023-04-29 02:05:30,25424864.0
2023-04-29 02:05:45,25250025.0
2023-04-29 02:06:00,25406737.0
2023-04-29 02:06:15,25391863.0
2023-04-29 02:06:30,25512196.0
2023-04-29 02:06:45,25559241.0
2023-04-29 02:07:00,25436682.0
2023-04-29 02:07:15,25460995.0
2023-04-29 02:07:30,25427058.0
2023-04-29 02:07:45,24270264.0
2023-04-29 02:08:00,25299971.0
2023-04-29 02:08:15,25226981.0
2023-04-29 02:08:30,25100025.0
2023-04-29 02:08:45,25118724.0
2023-04-29 02:09:00,24688033.0
2023-04-29 02:09:15,24805104.0
2023-04-29 02:09:30,25021117.0
2023-04-29 02:09:45,25290375.0
2023-04-29 02:10:00,25193842.0
2023-04-29 02:10:15,25198540.0
2023-04-29 02:10:30,25066361.0
2023-04-29 02:10:45,25036341.0
2023-04-29 02:11:00,24968243.0
2023-04-29 02:11:15,25186131.0
2023-04-29 02:11:30,25226445.0
2023-04-29 02:11:45,25191685.0
2023-04-29 02:12:00,25122872.0
2023-04-29 02:12:15,25170613.0
2023-04-29 02:12:30,25262466.0
2023-04-29 02:12:45,24125224.0
2023-04-29 02:13:00,24932007.0
2023-04-29 02:13:15,25075889.0
2023-04-29 02:13:30,24990064.0
2023-04-29 02:13:45,25113415.0
2023-04-29 02:14:00,25211685.0
2023-04-29 02:14:15,25067502.0
2023-04-29 02:14:30,25029846.0
2023-04-29 02:14:45,25173756.0
2023-04-29 02:15:00,25123496.0
2023-04-29 02:15:15,25062128.0
2023-04-29 02:15:30,25152397.0
2023-04-29 02:15:45,25001263.0
2023-04-29 02:16:00,24907560.0
2023-04-29 02:16:15,24363822.0
2023-04-29 02:16:30,25028745.0
2023-04-29 02:16:45,25090286.0
2023-04-29 02:17:00,24996562.0
2023-04-29 02:17:15,24925447.0
2023-04-29 02:17:30,24941254.0
2023-04-29 02:17:45,24885229.0
2023-04-29 02:18:00,24743655.0
2023-04-29 02:18:15,24712247.0
2023-04-29 02:18:30,24677088.0
2023-04-29 02:18:45,24793250.0
2023-04-29 02:19:00,24790464.0
2023-04-29 02:19:15,24695677.0
2023-04-29 02:19:30,24809640.0
2023-04-29 02:19:45,23678270.0
2023-04-29 02:20:00,24564745.0
2023-04-29 02:20:15,24635753.0
2023-04-29 02:20:30,24481165.0
2023-04-29 02:20:45,24445921.0
2023-04-29 02:21:00,24588315.0
2023-04-29 02:21:15,24589661.0
2023-04-29 02:21:30,24496280.0
2023-04-29 02:21:45,24423465.0
2023-04-29 02:22:00,24461918.0
2023-04-29 02:22:15,24448374.0
2023-04-29 02:22:30,24425608.0
2023-04-29 02:22:45,24014395.0
2023-04-29 02:23:00,24245554.0
2023-04-29 02:23:15,24335263.0
2023-04-29 02:23:30,24353397.0
2023-04-29 02:23:45,24326345.0
2023-04-29 02:24:00,24274713.0
2023-04-29 02:24:15,24306718.0
2023-04-29 02:24:30,24197777.0
2023-04-29 02:24:45,24082272.0
2023-04-29 02:25:00,24022314.0
2023-04-29 02:25:15,23030399.0
2023-04-29 02:25:30,23949870.0
2023-04-29 02:25:45,24040800.0
2023-04-29 02:26:00,23803569.0
2023-04-29 02:26:15,23827308.0
2023-04-29 02:26:30,23745190.0
2023-04-29 02:26:45,23734207.0
2023-04-29 02:27:00,23485507.0
2023-04-29 02:27:15,23602365.0
2023-04-29 02:27:30,23593669.0
2023-04-29 02:27:45,23561857.0
2023-04-29 02:28:00,23493322.0
2023-04-29 02:28:15,23553142.0
2023-04-29 02:28:30,23583237.0
2023-04-29 02:28:45,23496662.0
2023-04-29 02:29:00,23415465.0
2023-04-29 02:29:15,24144112.0
2023-04-29 02:29:30,25244770.0
2023-04-29 02:29:45,25214186.0
2023-04-29 02:30:00,25198955.0
2023-04-29 02:30:15,25054510.0
2023-04-29 02:30:30,24544828.0
2023-04-29 02:30:45,25154287.0
2023-04-29 02:31:00,25212503.0
2023-04-29 02:31:15,25111969.0
2023-04-29 02:31:30,25283336.0
2023-04-29 02:31:45,25157589.0
2023-04-29 02:32:00,25134315.0
2023-04-29 02:32:15,25096126.0
2023-04-29 02:32:30,25140425.0
2023-04-29 02:32:45,25109089.0
2023-04-29 02:33:00,25020838.0
2023-04-29 02:33:15,23440171.0
2023-04-29 02:33:30,25019727.0
2023-04-29 02:33:45,25085451.0
2023-04-29 02:34:00,24880093.0
2023-04-29 02:34:15,23411524.0
2023-04-29 02:34:30,24924438.0
2023-04-29 02:34:45,24923900.0
2023-04-29 02:35:00,24855301.0
2023-04-29 02:35:15,23983889.0
2023-04-29 02:35:30,24778629.0
2023-04-29 02:35:45,24860197.0
2023-04-29 02:36:00,24587644.0
2023-04-29 02:36:15,24848574.0
2023-04-29 02:36:30,24721540.0
2023-04-29 02:36:45,24697927.0
2023-04-29 02:37:00,24616207.0
2023-04-29 02:37:15,24642107.0
2023-04-29 02:37:30,24642548.0
2023-04-29 02:37:45,23044255.0
2023-04-29 02:38:00,24500574.0
2023-04-29 02:38:15,24590681.0
2023-04-29 02:38:30,22738471.0
2023-04-29 02:38:45,23058292.0
2023-04-29 02:39:00,24414124.0
2023-04-29 02:39:15,24497181.0
2023-04-29 02:39:30,24389563.0
2023-04-29 02:39:45,24328282.0
2023-04-29 02:40:00,24419401.0
2023-04-29 02:40:15,21639358.0
2023-04-29 02:40:30,24270533.0
2023-04-29 02:40:45,24342364.0
2023-04-29 02:41:00,24398564.0
2023-04-29 02:41:15,23339667.0
2023-04-29 02:41:30,23572850.0
2023-04-29 02:41:45,24341778.0
2023-04-29 02:42:00,24288116.0
2023-04-29 02:42:15,24070828.0
2023-04-29 02:42:30,24086440.0
2023-04-29 02:42:45,22641467.0
2023-04-29 02:43:00,24126273.0
2023-04-29 02:43:15,24017277.0
2023-04-29 02:43:30,22575951.0
2023-04-29 02:43:45,24005801.0
2023-04-29 02:44:00,23932751.0
2023-04-29 02:44:15,23893199.0
2023-04-29 02:44:30,22716304.0
2023-04-29 02:44:45,23692243.0
2023-04-29 02:45:00,23782411.0
2023-04-29 02:45:15,22802052.0
2023-04-29 02:45:30,23401278.0
2023-04-29 02:45:45,23633492.0
2023-04-29 02:46:00,23604300.0
2023-04-29 02:46:15,23401181.0
2023-04-29 02:46:30,22551718.0
2023-04-29 02:46:45,23508055.0
2023-04-29 02:47:00,23317620.0
2023-04-29 02:47:15,23324860.0
2023-04-29 02:47:30,23429825.0
2023-04-29 02:47:45,23315874.0
2023-04-29 02:48:00,23221846.0
2023-04-29 02:48:15,23196378.0
2023-04-29 02:48:30,23046842.0
2023-04-29 02:48:45,23076447.0
2023-04-29 02:49:00,23077696.0
2023-04-29 02:49:15,20561169.0
2023-04-29 02:49:30,22948696.0
2023-04-29 02:49:45,21779675.0
2023-04-29 02:50:00,20473139.0
2023-04-29 02:50:15,21954639.0
2023-04-29 02:50:30,22765857.0
2023-04-29 02:50:45,21189513.0
2023-04-29 02:51:00,22602506.0
2023-04-29 02:51:15,22758518.0
2023-04-29 02:51:30,19838843.0
2023-04-29 02:51:45,20773155.0
2023-04-29 02:52:00,22531237.0
2023-04-29 02:52:15,22454618.0
2023-04-29 02:52:30,21440129.0
2023-04-29 02:52:45,22295951.0
2023-04-29 02:53:00,22286371.0
2023-04-29 02:53:15,22165449.0
2023-04-29 02:53:30,22164064.0
2023-04-29 02:53:45,22137367.0
2023-04-29 02:54:00,19868852.0
2023-04-29 02:54:15,22016651.0
2023-04-29 02:54:30,20529631.0
2023-04-29 02:54:45,21826751.0
2023-04-29 02:55:00,21848625.0
2023-04-29 02:55:15,21571770.0
2023-04-29 02:55:30,21657238.0
2023-04-29 02:55:45,21593338.0
2023-04-29 02:56:00,21486786.0
2023-04-29 02:56:15,21433321.0
2023-04-29 02:56:30,21371984.0
2023-04-29 02:56:45,21263964.0
2023-04-29 02:57:00,21257173.0
2023-04-29 02:57:15,21086277.0
2023-04-29 02:57:30,21078305.0
2023-04-29 02:57:45,20962010.0
2023-04-29 02:58:00,20911136.0
2023-04-29 02:58:15,20931688.0
2023-04-29 02:58:30,20770418.0
2023-04-29 02:58:45,20763755.0
2023-04-29 02:59:00,20800884.0
2023-04-29 02:59:15,20542897.0
2023-04-29 02:59:30,20570071.0
2023-04-29 02:59:45,20391488.0
2023-04-29 03:00:00,20459937.0
2023-04-29 03:00:15,20472264.0
2023-04-29 03:00:30,20440581.0
2023-04-29 03:00:45,20460664.0
2023-04-29 03:01:00,20238185.0
2023-04-29 03:01:15,20271182.0
2023-04-29 03:01:30,20239673.0
2023-04-29 03:01:45,20102532.0
2023-04-29 03:02:00,19938811.0
2023-04-29 03:02:15,19914714.0
