timestamp,LZR.BARNARD.Racks-AK.Wirkleistung
2023-05-12T01:03:30.672238+00:00,540400.36328125
2023-05-12T01:03:31.190352+00:00,539097.21875
2023-05-12T01:03:31.729210+00:00,538200.896484375
2023-05-12T01:03:32.272396+00:00,538096.431640625
2023-05-12T01:03:32.959983+00:00,538109.96484375
2023-05-12T01:03:33.488684+00:00,538103.69921875
2023-05-12T01:03:34.102421+00:00,538024.04296875
2023-05-12T01:03:34.673084+00:00,538081.169921875
2023-05-12T01:03:35.190865+00:00,515239.634765625
2023-05-12T01:03:35.728690+00:00,439351.80859375
2023-05-12T01:03:36.272992+00:00,394011.05859375
2023-05-12T01:03:36.960095+00:00,349113.87109375
2023-05-12T01:03:37.489126+00:00,348984.748046875
2023-05-12T01:03:38.124203+00:00,348741.00390625
2023-05-12T01:03:38.673386+00:00,348517.3671875
2023-05-12T01:03:39.222482+00:00,348486.916015625
2023-05-12T01:03:39.739229+00:00,348444.34375
2023-05-12T01:03:40.274488+00:00,348427.50390625
2023-05-12T01:03:40.986774+00:00,348235.796875
2023-05-12T01:03:41.490196+00:00,348237.759765625
2023-05-12T01:03:42.124675+00:00,348197.970703125
2023-05-12T01:03:42.674196+00:00,348149.55078125
2023-05-12T01:03:43.221974+00:00,348148.921875
2023-05-12T01:03:43.739737+00:00,348252.443359375
2023-05-12T01:03:44.274193+00:00,348249.810546875
2023-05-12T01:03:44.953337+00:00,348047.09375
2023-05-12T01:03:45.482108+00:00,364040.228515625
2023-05-12T01:03:46.124735+00:00,477469.623046875
2023-05-12T01:03:46.674735+00:00,639237.42578125
2023-05-12T01:03:47.192291+00:00,615540.078125
2023-05-12T01:03:47.740794+00:00,542690.251953125
2023-05-12T01:03:48.274611+00:00,543560.779296875
2023-05-12T01:03:48.952071+00:00,539502.509765625
2023-05-12T01:03:49.484914+00:00,539388.24609375
2023-05-12T01:03:50.125515+00:00,540424.140625
2023-05-12T01:03:50.675487+00:00,539105.36328125
2023-05-12T01:03:51.223979+00:00,538620.0703125
2023-05-12T01:03:51.952335+00:00,537632.90234375
2023-05-12T01:03:52.482293+00:00,537167.046875
2023-05-12T01:03:53.125911+00:00,536640.38671875
2023-05-12T01:03:53.666084+00:00,536034.025390625
2023-05-12T01:03:54.222975+00:00,535673.876953125
2023-05-12T01:03:54.731334+00:00,535175.41015625
2023-05-12T01:03:55.287052+00:00,534851.984375
2023-05-12T01:03:55.953960+00:00,527522.140625
2023-05-12T01:03:56.483398+00:00,500965.05859375
2023-05-12T01:03:57.126143+00:00,473791.12890625
2023-05-12T01:03:57.666724+00:00,465547.662109375
2023-05-12T01:03:58.222283+00:00,460574.552734375
2023-05-12T01:03:58.731950+00:00,452903.9453125
2023-05-12T01:03:59.288034+00:00,443115.6328125
2023-05-12T01:03:59.955164+00:00,428390.203125
2023-05-12T01:04:00.484478+00:00,422832.82421875
2023-05-12T01:04:01.126848+00:00,422588.21484375
2023-05-12T01:04:01.667865+00:00,422224.00390625
2023-05-12T01:04:02.222634+00:00,421089.81640625
2023-05-12T01:04:02.732638+00:00,418201.94140625
2023-05-12T01:04:03.267813+00:00,416756.91015625
2023-05-12T01:04:03.943697+00:00,416456.28515625
2023-05-12T01:04:04.493596+00:00,416199.888671875
2023-05-12T01:04:05.127887+00:00,416045.037109375
2023-05-12T01:04:05.667789+00:00,411087.107421875
2023-05-12T01:04:06.224506+00:00,407637.607421875
2023-05-12T01:04:06.955462+00:00,401638.8125
2023-05-12T01:04:07.487032+00:00,401453.0
2023-05-12T01:04:08.097586+00:00,401298.0234375
2023-05-12T01:04:08.678317+00:00,401038.818359375
