Time,"Total Power
(W)"
2023-05-06 18:54:01,102238
2023-05-06 18:54:02,104827
2023-05-06 18:54:03,104244
2023-05-06 18:54:04,104027
2023-05-06 18:54:05,104046
2023-05-06 18:54:06,102633
2023-05-06 18:54:07,102929
2023-05-06 18:54:08,104824
2023-05-06 18:54:09,104301
2023-05-06 18:54:10,104098
2023-05-06 18:54:11,103984
2023-05-06 18:54:12,102015
2023-05-06 18:54:13,104009
2023-05-06 18:54:14,104763
2023-05-06 18:54:15,104150
2023-05-06 18:54:16,104112
2023-05-06 18:54:17,103463
2023-05-06 18:54:18,101844
2023-05-06 18:54:19,104879
2023-05-06 18:54:20,104471
2023-05-06 18:54:21,104126
2023-05-06 18:54:22,104097
2023-05-06 18:54:23,102206
2023-05-06 18:54:24,103721
2023-05-06 18:54:25,104764
2023-05-06 18:54:26,104254
2023-05-06 18:54:27,104246
2023-05-06 18:54:28,103163
2023-05-06 18:54:29,102433
2023-05-06 18:54:30,104827
2023-05-06 18:54:31,104352
2023-05-06 18:54:32,104215
2023-05-06 18:54:33,103572
2023-05-06 18:54:34,101951
2023-05-06 18:54:35,104892
2023-05-06 18:54:36,104461
2023-05-06 18:54:37,104302
2023-05-06 18:54:38,103705
2023-05-06 18:54:39,101993
2023-05-06 18:54:40,104933
2023-05-06 18:54:41,104525
2023-05-06 18:54:42,104292
2023-05-06 18:54:43,103647
2023-05-06 18:54:44,102042
2023-05-06 18:54:45,104741
2023-05-06 18:54:46,104275
2023-05-06 18:54:47,104047
2023-05-06 18:54:48,102774
2023-05-06 18:54:49,102724
2023-05-06 18:54:50,104530
2023-05-06 18:54:51,104144
2023-05-06 18:54:52,103829
2023-05-06 18:54:53,101814
2023-05-06 18:54:54,104145
2023-05-06 18:54:55,104351
2023-05-06 18:54:56,104131
2023-05-06 18:54:57,103451
2023-05-06 18:54:58,102017
2023-05-06 18:54:59,104525
2023-05-06 18:55:00,104225
2023-05-06 18:55:01,103630
2023-05-06 18:55:02,101736
2023-05-06 18:55:03,104427
2023-05-06 18:55:04,104232
2023-05-06 18:55:05,104056
2023-05-06 18:55:06,102365
2023-05-06 18:55:07,103416
2023-05-06 18:55:08,104393
2023-05-06 18:55:09,104152
2023-05-06 18:55:10,102494
2023-05-06 18:55:11,103355
2023-05-06 18:55:12,104471
2023-05-06 18:55:13,104020
2023-05-06 18:55:14,102466
2023-05-06 18:55:15,103354
2023-05-06 18:55:16,104336
2023-05-06 18:55:17,103984
2023-05-06 18:55:18,102389
2023-05-06 18:55:19,103438
2023-05-06 18:55:20,104282
2023-05-06 18:55:21,103644
2023-05-06 18:55:22,101929
2023-05-06 18:55:23,104518
2023-05-06 18:55:24,104167
2023-05-06 18:55:25,103472
2023-05-06 18:55:26,102263
2023-05-06 18:55:27,104493
2023-05-06 18:55:28,103811
2023-05-06 18:55:29,102102
2023-05-06 18:55:30,104071
2023-05-06 18:55:31,104138
2023-05-06 18:55:32,103060
2023-05-06 18:55:33,102800
2023-05-06 18:55:34,104306
2023-05-06 18:55:35,103466
2023-05-06 18:55:36,102226
2023-05-06 18:55:37,104515
2023-05-06 18:55:38,103686
2023-05-06 18:55:39,102276
2023-05-06 18:55:40,104377
2023-05-06 18:55:41,103760
2023-05-06 18:55:42,102249
2023-05-06 18:55:43,104406
2023-05-06 18:55:44,103612
2023-05-06 18:55:45,102366
2023-05-06 18:55:46,104265
2023-05-06 18:55:47,103604
2023-05-06 18:55:48,102314
2023-05-06 18:55:49,104367
2023-05-06 18:55:50,103175
2023-05-06 18:55:51,103038
2023-05-06 18:55:52,104081
2023-05-06 18:55:53,102462
2023-05-06 18:55:54,104090
2023-05-06 18:55:55,103665
2023-05-06 18:55:56,102638
2023-05-06 18:55:57,104094
2023-05-06 18:55:58,102361
2023-05-06 18:55:59,103991
2023-05-06 18:56:00,102943
2023-05-06 18:56:01,103216
2023-05-06 18:56:02,103728
2023-05-06 18:56:03,102695
2023-05-06 18:56:04,103803
2023-05-06 18:56:05,102597
2023-05-06 18:56:06,103408
2023-05-06 18:56:07,101943
2023-05-06 18:56:08,102614
2023-05-06 18:56:09,100927
2023-05-06 18:56:10,100955
2023-05-06 18:56:11,99583
2023-05-06 18:56:12,99420
