Time,Node Power (W),IB Switch Power AC estimated (W),Total Power (W)
2023-04-28 22:02:06,56938,2470,59408
2023-04-28 22:02:07,57049,2470,59519
2023-04-28 22:02:08,57234,2470,59704
2023-04-28 22:02:09,57419,2470,59889
2023-04-28 22:02:10,57789,2470,60259
2023-04-28 22:02:11,57826,2470,60296
2023-04-28 22:02:12,57752,2470,60222
2023-04-28 22:02:13,57641,2470,60111
2023-04-28 22:02:14,57604,2470,60074
2023-04-28 22:02:15,57604,2470,60074
2023-04-28 22:02:16,57530,2470,60000
2023-04-28 22:02:17,57493,2470,59963
2023-04-28 22:02:18,57567,2470,60037
2023-04-28 22:02:19,57530,2470,60000
2023-04-28 22:02:20,57641,2470,60111
2023-04-28 22:02:21,57715,2470,60185
2023-04-28 22:02:22,57752,2470,60222
2023-04-28 22:02:23,58011,2470,60481
2023-04-28 22:02:24,58491,2470,60961
2023-04-28 22:02:25,58972,2470,61442
2023-04-28 22:02:26,59342,2470,61812
2023-04-28 22:02:27,59674,2470,62144
2023-04-28 22:02:28,60266,2470,62736
2023-04-28 22:02:29,60562,2470,63032
2023-04-28 22:02:30,60747,2470,63217
2023-04-28 22:02:31,60784,2470,63254
2023-04-28 22:02:32,61893,2470,64363
2023-04-28 22:02:33,61967,2470,64437
2023-04-28 22:02:34,75351,2470,77821
2023-04-28 22:02:35,91027,2470,93497
2023-04-28 22:02:36,114246,2470,116716
2023-04-28 22:02:37,141717,2470,144187
2023-04-28 22:02:38,161202,2470,163672
2023-04-28 22:02:39,171666,2470,174136
2023-04-28 22:02:40,175104,2470,177574
2023-04-28 22:02:41,175511,2470,177981
2023-04-28 22:02:42,177544,2470,180014
2023-04-28 22:02:43,180687,2470,183157
2023-04-28 22:02:44,182683,2470,185153
2023-04-28 22:02:45,184014,2470,186484
2023-04-28 22:02:46,188082,2470,190552
2023-04-28 22:02:47,184384,2470,186854
2023-04-28 22:02:48,180095,2470,182565
2023-04-28 22:02:49,180983,2470,183453
2023-04-28 22:02:50,185050,2470,187520
2023-04-28 22:02:51,190559,2470,193029
2023-04-28 22:02:52,194552,2470,197022
2023-04-28 22:02:53,197436,2470,199906
2023-04-28 22:02:54,198175,2470,200645
2023-04-28 22:02:55,198730,2470,201200
2023-04-28 22:02:56,199950,2470,202420
2023-04-28 22:02:57,199617,2470,202087
2023-04-28 22:02:58,199062,2470,201532
2023-04-28 22:02:59,200135,2470,202605
2023-04-28 22:03:00,200763,2470,203233
2023-04-28 22:03:01,202279,2470,204749
2023-04-28 22:03:02,201466,2470,203936
2023-04-28 22:03:03,201133,2470,203603
2023-04-28 22:03:04,201540,2470,204010
2023-04-28 22:03:05,202723,2470,205193
2023-04-28 22:03:06,201983,2470,204453
2023-04-28 22:03:07,202316,2470,204786
2023-04-28 22:03:08,202242,2470,204712
2023-04-28 22:03:09,202760,2470,205230
2023-04-28 22:03:10,203610,2470,206080
2023-04-28 22:03:11,204202,2470,206672
2023-04-28 22:03:12,202723,2470,205193
2023-04-28 22:03:13,201725,2470,204195
2023-04-28 22:03:14,201392,2470,203862
2023-04-28 22:03:15,201429,2470,203899
2023-04-28 22:03:16,202464,2470,204934
2023-04-28 22:03:17,202797,2470,205267
2023-04-28 22:03:18,201540,2470,204010
2023-04-28 22:03:19,202020,2470,204490
2023-04-28 22:03:20,201392,2470,203862
2023-04-28 22:03:21,202427,2470,204897
2023-04-28 22:03:22,201798,2470,204268
2023-04-28 22:03:23,201429,2470,203899
2023-04-28 22:03:24,201466,2470,203936
2023-04-28 22:03:25,201059,2470,203529
2023-04-28 22:03:26,201983,2470,204453
2023-04-28 22:03:27,201909,2470,204379
2023-04-28 22:03:28,200800,2470,203270
2023-04-28 22:03:29,200541,2470,203011
2023-04-28 22:03:30,198952,2470,201422
2023-04-28 22:03:31,199802,2470,202272
2023-04-28 22:03:32,200024,2470,202494
2023-04-28 22:03:33,199432,2470,201902
2023-04-28 22:03:34,199432,2470,201902
2023-04-28 22:03:35,199580,2470,202050
2023-04-28 22:03:36,199062,2470,201532
2023-04-28 22:03:37,198767,2470,201237
2023-04-28 22:03:38,197103,2470,199573
2023-04-28 22:03:39,196068,2470,198538
2023-04-28 22:03:40,196659,2470,199129
2023-04-28 22:03:41,197584,2470,200054
2023-04-28 22:03:42,198434,2470,200904
