timestamp,barnard.hpc.energy
2023-05-12T07:10:28.280205+00:00,1123901822635.56
2023-05-12T07:10:29.280318+00:00,1123902402500.1602
2023-05-12T07:10:30.280176+00:00,1123902945637.92
2023-05-12T07:10:31.280133+00:00,1123903490935.68
2023-05-12T07:10:32.280776+00:00,1123904030533.2
2023-05-12T07:10:33.280501+00:00,1123904574491.4
2023-05-12T07:10:34.281036+00:00,1123905120707.8801
2023-05-12T07:10:35.280640+00:00,1123905636268.9202
2023-05-12T07:10:36.280129+00:00,1123906200929.28
2023-05-12T07:10:37.279956+00:00,1123906747314.96
2023-05-12T07:10:38.280465+00:00,1123907292735.84
2023-05-12T07:10:39.280442+00:00,1123907814731.8801
2023-05-12T07:10:40.280062+00:00,1123908367599.7202
2023-05-12T07:10:41.281094+00:00,1123908913855.08
2023-05-12T07:10:42.280247+00:00,1123909431609.96
2023-05-12T07:10:43.280507+00:00,1123909985334.96
2023-05-12T07:10:44.280663+00:00,1123910530710.1199
2023-05-12T07:10:45.280312+00:00,1123911076270.68
2023-05-12T07:10:46.280591+00:00,1123911520997.76
2023-05-12T07:10:47.280450+00:00,1123912120247.28
2023-05-12T07:10:48.280469+00:00,1123912666211.7598
2023-05-12T07:10:49.280756+00:00,1123913211036.8398
2023-05-12T07:10:50.280719+00:00,1123913671330.68
2023-05-12T07:10:51.280300+00:00,1123914259977.48
2023-05-12T07:10:52.280249+00:00,1123914806241.84
2023-05-12T07:10:53.279256+00:00,1123915336528.3198
2023-05-12T07:10:54.280474+00:00,1123915874828.4001
2023-05-12T07:10:55.280424+00:00,1123916417377.56
2023-05-12T07:10:56.280407+00:00,1123916963331.6
2023-05-12T07:10:57.280571+00:00,1123917442478.64
2023-05-12T07:10:58.280440+00:00,1123918022935.0798
2023-05-12T07:10:59.280464+00:00,1123918569160.2002
2023-05-12T07:11:00.280049+00:00,1123919114666.4001
2023-05-12T07:11:01.280968+00:00,1123919650370.52
2023-05-12T07:11:02.280246+00:00,1123920194778.72
2023-05-12T07:11:03.280475+00:00,1123920741006.72
2023-05-12T07:11:04.280068+00:00,1123921249752.24
2023-05-12T07:11:05.280410+00:00,1123921810277.28
2023-05-12T07:11:06.281012+00:00,1123922356061.7598
2023-05-12T07:11:07.280672+00:00,1123922901741.4802
2023-05-12T07:11:08.280206+00:00,1123923338087.4001
2023-05-12T07:11:09.279799+00:00,1123923941600.76
2023-05-12T07:11:10.280314+00:00,1123924487655.96
2023-05-12T07:11:11.280355+00:00,1123925032028.52
2023-05-12T07:11:12.280918+00:00,1123925518855.08
2023-05-12T07:11:13.280448+00:00,1123926091392.24
2023-05-12T07:11:14.280514+00:00,1123926637768.56
2023-05-12T07:11:15.279427+00:00,1123927159413.96
2023-05-12T07:11:16.280420+00:00,1123927704619.9202
2023-05-12T07:11:17.280936+00:00,1123928246401.2
2023-05-12T07:11:18.281063+00:00,1123928792333.64
2023-05-12T07:11:19.280557+00:00,1123929308853.72
2023-05-12T07:11:20.280972+00:00,1123929872568.36
2023-05-12T07:11:21.280563+00:00,1123930419038.9998
2023-05-12T07:11:22.279974+00:00,1123930950573.6
2023-05-12T07:11:23.280613+00:00,1123931487216.24
2023-05-12T07:11:24.280282+00:00,1123932030885.7202
2023-05-12T07:11:25.279766+00:00,1123932577093.92
2023-05-12T07:11:26.280886+00:00,1123933056274.44
2023-05-12T07:11:27.280331+00:00,1123933507242.12
2023-05-12T07:11:28.280895+00:00,1123934103962.28
2023-05-12T07:11:29.280945+00:00,1123934649848.28
2023-05-12T07:11:30.280565+00:00,1123935177639.96
2023-05-12T07:11:31.280362+00:00,1123935739159.68
2023-05-12T07:11:32.280243+00:00,1123936285769.6401
2023-05-12T07:11:33.280243+00:00,1123936829076.2402
2023-05-12T07:11:34.280697+00:00,1123937351946.36
2023-05-12T07:11:35.280246+00:00,1123937902204.5598
2023-05-12T07:11:36.280743+00:00,1123938448561.08
2023-05-12T07:11:37.280444+00:00,1123938952382.52
2023-05-12T07:11:38.280621+00:00,1123939493957.52
2023-05-12T07:11:39.280514+00:00,1123940039320.44
2023-05-12T07:11:40.280101+00:00,1123940585271.6
2023-05-12T07:11:41.279230+00:00,1123941062165.04
2023-05-12T07:11:42.279794+00:00,1123941651264.0
2023-05-12T07:11:43.279657+00:00,1123942197715.92
2023-05-12T07:11:44.280707+00:00,1123942739746.32
2023-05-12T07:11:45.279669+00:00,1123943243439.96
2023-05-12T07:11:46.280150+00:00,1123943804698.32
2023-05-12T07:11:47.280749+00:00,1123944351006.96
2023-05-12T07:11:48.280799+00:00,1123944861067.92
2023-05-12T07:11:49.280905+00:00,1123945380211.68
2023-05-12T07:11:50.280947+00:00,1123945934910.1199
2023-05-12T07:11:51.281346+00:00,1123946480542.6802
2023-05-12T07:11:52.280626+00:00,1123947024031.8
2023-05-12T07:11:53.280793+00:00,1123947570452.04
2023-05-12T07:11:54.280058+00:00,1123948116771.84
2023-05-12T07:11:55.281002+00:00,1123948648534.32
2023-05-12T07:11:56.280593+00:00,1123949193420.24
2023-05-12T07:11:57.279632+00:00,1123949736327.96
2023-05-12T07:11:58.280446+00:00,1123950282215.4
2023-05-12T07:11:59.280354+00:00,1123950747194.6401
2023-05-12T07:12:00.280956+00:00,1123951330321.92
2023-05-12T07:12:01.280905+00:00,1123951873782.24
2023-05-12T07:12:02.280417+00:00,1123952419191.24
2023-05-12T07:12:03.280187+00:00,1123952859680.4
2023-05-12T07:12:04.280322+00:00,1123953462175.32
2023-05-12T07:12:05.279676+00:00,1123954008753.5999
2023-05-12T07:12:06.280582+00:00,1123954547595.8398
2023-05-12T07:12:07.280255+00:00,1123955061442.56
2023-05-12T07:12:08.280911+00:00,1123955616099.2402
2023-05-12T07:12:09.280638+00:00,1123956162141.8398
2023-05-12T07:12:10.280779+00:00,1123956663210.0
2023-05-12T07:12:11.280608+00:00,1123957229245.2002
2023-05-12T07:12:12.280990+00:00,1123957775451.9602
2023-05-12T07:12:13.279101+00:00,1123958320956.0
2023-05-12T07:12:14.280359+00:00,1123958796198.1199
2023-05-12T07:12:15.279908+00:00,1123959379839.48
2023-05-12T07:12:16.280171+00:00,1123959926072.16
2023-05-12T07:12:17.280537+00:00,1123960455972.3599
2023-05-12T07:12:18.280922+00:00,1123960985373.96
2023-05-12T07:12:19.280072+00:00,1123961532374.1602
2023-05-12T07:12:20.281068+00:00,1123962078430.0798
2023-05-12T07:12:21.280565+00:00,1123962561641.52
2023-05-12T07:12:22.280255+00:00,1123963137581.04
2023-05-12T07:12:23.280038+00:00,1123963683221.52
2023-05-12T07:12:24.280507+00:00,1123964228673.7202
2023-05-12T07:12:25.280127+00:00,1123964719023.96
2023-05-12T07:12:26.280957+00:00,1123965292978.08
2023-05-12T07:12:27.280798+00:00,1123965839297.1602
2023-05-12T07:12:28.280093+00:00,1123966363165.56
2023-05-12T07:12:29.279864+00:00,1123966877200.56
2023-05-12T07:12:30.280243+00:00,1123967433724.2
2023-05-12T07:12:31.280571+00:00,1123967979893.16
2023-05-12T07:12:32.280737+00:00,1123968467315.1602
2023-05-12T07:12:33.281067+00:00,1123969032799.2
2023-05-12T07:12:34.280514+00:00,1123969573950.48
