time,power
2021-05-27T14:31:14+00:00,58840.0
2021-05-27T14:31:15+00:00,58788.0
2021-05-27T14:31:16+00:00,58841.0
2021-05-27T14:31:17+00:00,58904.0
2021-05-27T14:31:18+00:00,59916.0
2021-05-27T14:31:19+00:00,60219.0
2021-05-27T14:31:20+00:00,60241.0
2021-05-27T14:31:21+00:00,60159.0
2021-05-27T14:31:22+00:00,60261.0
2021-05-27T14:31:23+00:00,60411.0
2021-05-27T14:31:24+00:00,61630.0
2021-05-27T14:31:25+00:00,61905.0
2021-05-27T14:31:26+00:00,61988.0
2021-05-27T14:31:27+00:00,62357.0
2021-05-27T14:31:28+00:00,62473.0
2021-05-27T14:31:29+00:00,62406.0
2021-05-27T14:31:30+00:00,62110.0
2021-05-27T14:31:31+00:00,62115.0
2021-05-27T14:31:32+00:00,62117.0
2021-05-27T14:31:33+00:00,62109.0
2021-05-27T14:31:34+00:00,62110.0
2021-05-27T14:31:35+00:00,62112.0
2021-05-27T14:31:36+00:00,62110.0
2021-05-27T14:31:37+00:00,62106.0
2021-05-27T14:31:38+00:00,62805.0
2021-05-27T14:31:39+00:00,65460.0
2021-05-27T14:31:40+00:00,65832.0
2021-05-27T14:31:41+00:00,65847.0
2021-05-27T14:31:42+00:00,64989.0
2021-05-27T14:31:43+00:00,66400.0
2021-05-27T14:31:44+00:00,67231.0
2021-05-27T14:31:45+00:00,65994.0
2021-05-27T14:31:46+00:00,65787.0
2021-05-27T14:31:47+00:00,65932.0
2021-05-27T14:31:48+00:00,67806.0
2021-05-27T14:31:49+00:00,69473.0
2021-05-27T14:31:50+00:00,70298.0
2021-05-27T14:31:51+00:00,73080.0
2021-05-27T14:31:52+00:00,81963.0
2021-05-27T14:31:53+00:00,70510.0
2021-05-27T14:31:54+00:00,137303.0
2021-05-27T14:31:55+00:00,99275.0
2021-05-27T14:31:56+00:00,71152.0
2021-05-27T14:31:57+00:00,67062.0
2021-05-27T14:31:58+00:00,63671.0
2021-05-27T14:31:59+00:00,65214.0
